Portfolio Return,Portfolio Risk,Sharpe Ratio,Weights,Fund Distribution
0.32139712929139447,0.3476776873362746,0.9244111457188178,[0.        0.4825898 0.        0.        0.        0.5174102],[    0. 24129.     0.     0.     0. 25870.]
0.3102144671443053,0.3502718207145626,0.8856392344421559,[0.         0.16073801 0.         0.         0.22796974 0.61129225],[    0.  8036.     0.     0. 11398. 30564.]
0.2981477677452097,0.30537237683987645,0.9763416417377692,[0.         0.38635306 0.         0.         0.3993672  0.21427974],[    0. 19317.     0.     0. 19968. 10713.]
0.2952502330563501,0.33546875861714553,0.8801124559956568,[0.         0.         0.         0.         0.49788219 0.50211781],[    0.     0.     0.     0. 24894. 25105.]
0.2952074214133247,0.3056769582095875,0.9657496696591557,[0.         0.39678328 0.         0.         0.44693243 0.15628429],[    0. 19839.     0.     0. 22346.  7814.]
0.28702134517263267,0.30407961884431006,0.9439019499678757,[0.         0.21036854 0.         0.         0.60740894 0.18222251],[    0. 10518.     0.     0. 30370.  9111.]
0.316591358312176,0.35111292351271334,0.9016795939745939,[0.         0.29581563 0.         0.         0.10427975 0.59990462],[    0. 14790.     0.     0.  5213. 29995.]
0.3007390229758693,0.3197849864105507,0.9404413457665284,[0.         0.5750327  0.         0.         0.33168581 0.09328149],[    0. 28751.     0.     0. 16584.  4664.]
0.30033060254223143,0.3110093230813763,0.9656643073161162,[0.         0.25428025 0.         0.         0.38024405 0.36547569],[    0. 12714.     0.     0. 19012. 18273.]
0.3021891091209158,0.32168532254075227,0.9393935251199823,[0.         0.59544854 0.         0.         0.30490021 0.09965125],[    0. 29772.     0.     0. 15245.  4982.]
0.29888281830020075,0.30994773144778315,0.9643007125882239,[0.         0.23808412 0.         0.         0.40644194 0.35547394],[    0. 11904.     0.     0. 20322. 17773.]
0.3010791988559399,0.3240820587006087,0.9290214955530164,[0.         0.15089592 0.         0.         0.38124933 0.46785475],[    0.  7544.     0.     0. 19062. 23392.]
0.3206183061632919,0.3866150936319698,0.8292958848329337,[0.         0.19247533 0.         0.         0.0507321  0.75679257],[    0.  9623.     0.     0.  2536. 37839.]
0.30913131690959816,0.32525706005734045,0.9504215430561309,[0.         0.31042977 0.         0.         0.22650164 0.46306858],[    0. 15521.     0.     0. 11325. 23153.]
0.30368546915249944,0.31315655519537766,0.9697560664602112,[0.         0.30686132 0.         0.         0.31757758 0.37556111],[    0. 15343.     0.     0. 15878. 18778.]
0.31973316870805446,0.42989248918266465,0.743751465199936,[0.         0.         0.         0.         0.09052027 0.90947973],[    0.     0.     0.     0.  4526. 45473.]
0.30168860411708165,0.33427956545959236,0.9025038778613277,[0.         0.09751511 0.         0.         0.37805998 0.52442491],[    0.  4875.     0.     0. 18902. 26221.]
0.31756798985812307,0.35020817633680124,0.9067977600634671,[0.         0.32775825 0.         0.         0.08387096 0.58837079],[    0. 16387.     0.     0.  4193. 29418.]
0.29615568843479934,0.31354991039678864,0.9445248702511909,[0.         0.49705533 0.         0.         0.41809894 0.08484574],[    0. 24852.     0.     0. 20904.  4242.]
0.2968082342517486,0.3058946331343683,0.9702956577252914,[0.         0.26016656 0.         0.         0.43808494 0.3017485 ],[    0. 13008.     0.     0. 21904. 15087.]
0.30062210609549683,0.30962046192437587,0.9709374639745972,[0.         0.46816    0.         0.         0.34754621 0.18429379],[    0. 23407.     0.     0. 17377.  9214.]
0.3040137669922233,0.3102470502670253,0.979908646127539,[0.         0.39681541 0.         0.         0.30040293 0.30278166],[    0. 19840.     0.     0. 15020. 15139.]
0.3137886763456692,0.33414827787397955,0.9390701587395619,[0.        0.355554  0.        0.        0.1431344 0.5013116],[    0. 17777.     0.     0.  7156. 25065.]
0.3034555558091959,0.31211479851435164,0.9722562251249437,[0.         0.49403208 0.         0.         0.29703296 0.20893497],[    0. 24701.     0.     0. 14851. 10446.]
0.29394543956392283,0.30599856452256025,0.9606105179694436,[0.         0.20889805 0.         0.         0.49239313 0.29870882],[    0. 10444.     0.     0. 24619. 14935.]
0.29667530842531337,0.3390562487260172,0.8750032171359543,[0.         0.         0.         0.         0.47417092 0.52582908],[    0.     0.     0.     0. 23708. 26291.]
0.30925276245008637,0.3194668891748588,0.9680275888648298,[0.         0.39250349 0.         0.         0.21379477 0.39370174],[    0. 19625.     0.     0. 10689. 19685.]
0.31696805213047413,0.3404808561125145,0.9309423611932226,[0.         0.39360706 0.         0.         0.08527942 0.52111351],[    0. 19680.     0.     0.  4263. 26055.]
0.2975330238787782,0.32984607651769343,0.9020359648353073,[0.         0.62094928 0.         0.         0.37905072 0.        ],[    0. 31047.     0.     0. 18952.     0.]
0.31186608659908377,0.39303699559095645,0.7934776880994956,[0.         0.         0.         0.         0.22141755 0.77858245],[    0.     0.     0.     0. 11070. 38929.]
0.31710272086893293,0.33914425645841223,0.9350083772031028,[0.         0.41312427 0.         0.         0.08049754 0.50637819],[    0. 20656.     0.     0.  4024. 25318.]
0.30530086380319454,0.32038238217116016,0.952926505303564,[0.         0.26262522 0.         0.         0.2964593  0.44091548],[    0. 13131.     0.     0. 14822. 22045.]
0.2798053506370384,0.31114368249444874,0.8992801923337477,[0.         0.20881289 0.         0.         0.72767558 0.06351153],[    0. 10440.     0.     0. 36383.  3175.]
0.2848105941700009,0.3058264817451299,0.9312816618913883,[0.         0.24255297 0.         0.         0.64000227 0.11744476],[    0. 12127.     0.     0. 32000.  5872.]
0.2946204436892583,0.3061421802335996,0.9623647530844991,[0.         0.21660712 0.         0.         0.48015826 0.30323462],[    0. 10830.     0.     0. 24007. 15161.]
0.30362515227650755,0.3173725275957321,0.9566837891629489,[0.         0.25432894 0.         0.         0.325421   0.42025006],[    0. 12716.     0.     0. 16271. 21012.]
0.3108220235764306,0.3395996901982077,0.915260032760981,[0.         0.73531195 0.         0.         0.14305002 0.12163804],[    0. 36765.     0.     0.  7152.  6081.]
